,Date,State,Confirmed,Recovered,Deaths
344,2020-03-13,Colorado,49.0,0.0,0.0
345,2020-03-13,Connecticut,11.0,0.0,0.0
346,2020-03-13,Delaware,4.0,0.0,0.0
347,2020-03-13,District of Columbia,10.0,0.0,0.0
348,2020-03-13,Florida,50.0,0.0,2.0
349,2020-03-13,Georgia,42.0,0.0,1.0
350,2020-03-13,Hawaii,2.0,0.0,0.0
351,2020-03-13,Idaho,1.0,0.0,0.0
352,2020-03-13,Illinois,46.0,2.0,0.0
353,2020-03-13,Indiana,13.0,0.0,0.0
354,2020-03-13,Iowa,17.0,0.0,0.0
355,2020-03-13,Kansas,5.0,0.0,1.0
356,2020-03-13,Kentucky,14.0,0.0,0.0
357,2020-03-13,Louisiana,36.0,0.0,0.0
358,2020-03-13,Maine,1.0,0.0,0.0
359,2020-03-13,Maryland,18.0,0.0,0.0
360,2020-03-13,Massachusetts,123.0,1.0,0.0
361,2020-03-13,Michigan,16.0,0.0,0.0
362,2020-03-13,Minnesota,14.0,0.0,0.0
363,2020-03-13,Mississippi,1.0,0.0,0.0
364,2020-03-13,Missouri,2.0,0.0,0.0
365,2020-03-13,Montana,1.0,0.0,0.0
366,2020-03-13,Nebraska,13.0,0.0,0.0
367,2020-03-13,Nevada,17.0,0.0,0.0
368,2020-03-13,New Hampshire,6.0,0.0,0.0
369,2020-03-13,New Jersey,29.0,0.0,1.0
370,2020-03-13,New Mexico,10.0,0.0,0.0
371,2020-03-13,New York,421.0,0.0,0.0
372,2020-03-13,North Carolina,17.0,0.0,0.0
373,2020-03-13,North Dakota,1.0,0.0,0.0
374,2020-03-13,Ohio,13.0,0.0,0.0
375,2020-03-13,Oklahoma,2.0,0.0,0.0
376,2020-03-13,Oregon,30.0,0.0,0.0
377,2020-03-13,Pennsylvania,41.0,0.0,0.0
378,2020-03-13,Rhode Island,14.0,0.0,0.0
379,2020-03-13,South Carolina,13.0,0.0,0.0
380,2020-03-13,South Dakota,8.0,0.0,1.0
